Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
Comet;Skillshot: den Ball sanft in die 1-9-8-6-Top-Lanes (oben) schießen, um den Playfield-Multiplikator vorzubereiten.;1. Die Duck-Targets (links) komplettieren. 2. Danach die Rabbit-Targets (rechts) abschießen. 3. Anschließend immer wieder die COMET-Rampe (rechte Rampe) treffen. 4. Den Cycle Jump nur spielen, wenn der Ball sicher kontrolliert ist.;Keine Moduswahl vorhanden.;–;Kein Lock und kein Multiball vorhanden.;–;–;Nein – kein Action Button vorhanden.;Sind Duck oder Rabbit noch offen, diese zuerst abschließen.;Cycle Jump (rechte Rampe) – Fehlschüsse kommen häufig unkontrolliert auf den rechten Flipper oder Richtung Outlane zurück.;Im Matchplay ist die COMET-Rampe der wichtigste Schuss. Erst Duck- und Rabbit-Bank vervollständigen, damit die Rampe aufgewertet wird. Den Cycle Jump nur spielen, wenn er sicher ist.
Rollergames;Skillshot: Die W-A-R-Lanes (oben) treffen und Bonus-X erhöhen.;1. Die L-O-C-K-Standup-Targets (Mitte rechts) treffen, bis LOCK leuchtet. 2. Die Wall Ramp (linke Rampe an der linken Spielfeldseite) schießen und den Ball locken. 3. Dies zweimal wiederholen. 4. Nach dem zweiten Lock startet der Multiball automatisch. 5. Während des Multiballs immer wieder die Wall Ramp für Jackpots spielen.;Keine Moduswahl vorhanden.;–;L-O-C-K über die Standup-Targets in der Spielfeldmitte vervollständigen, damit LOCK leuchtet.;Wall Ramp (linke Rampe links außen) – dort wird der Ball physisch gespeichert. Insgesamt 2 Locks.;Startet automatisch nach dem 2. Lock.;Nein – kein Action Button vorhanden.;Ist LOCK noch nicht aktiviert, lieber weiter die L-O-C-K-Targets treffen.;Wall Ramp – Fehlschüsse können hart auf den rechten Flipper oder Richtung rechter Outlane zurückkommen.;Im Matchplay hat der Multiball höchste Priorität. Spiele konsequent auf L-O-C-K → Wall Ramp. Während des Multiballs fast ausschließlich die Wall Ramp für Jackpots schießen.
The Godfather;Skillshot: Blinkende obere Lane. Super Skillshot: linken Flipper halten und den linken Orbit (ganz links außen) treffen.;1. Einen Family Job starten. 2. Family Multiball vorbereiten. 3. Zwei virtuelle Locks sammeln. 4. Den Compound Scoop (Loch mittig leicht links unter dem Gebäude) treffen. 5. Family Multiball starten. 6. Family Jobs weiterspielen und Tribute sammeln.;🥇 Einen einfachen Family Job wählen.;Compound Scoop (Loch mittig links unter dem Compound-Gebäude).;Family Multiball durch Family Jobs und Spielfortschritt qualifizieren.;Compound Scoop (Mitte links) – 2 virtuelle Locks.;Compound Scoop, sobald beide Locks gesammelt wurden.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber Family Jobs weiterspielen.;Compound Scoop – Fehlschüsse aus der Mitte können direkt SDTM zurückkommen.;Im Matchplay zuerst einen einfachen Family Job starten und anschließend Family Multiball stacken. Tribute nur mitnehmen, wenn sie auf dem Weg liegen.
Avatar: The Battle for Pandora;Skillshot: Je nach Anzeige Left Orbit (links außen), Scoop (mittig) oder Home Tree VUK (oben). Super Skillshot: Action Button halten und einen blinkenden Super-Skillshot treffen.;1. Einen Songcord-Mode starten. 2. Den A1-Multiball (Battle of the Hallelujah Mountains) vorbereiten. 3. Über den linken Orbit Locks sammeln. 4. Den Lock-Up erneut treffen. 5. A1-Multiball starten. 6. Songcord mit dem Multiball kombinieren.;🥇 Songcord früh starten.;Songcord-Scoop (mittig vor dem Home Tree).;Der linke Orbit (ganz links außen) trifft den Lock-Up und qualifiziert den ersten Lock. Weitere Locks folgen über den Spielverlauf.;Left Orbit Lock-Up (oben links hinter dem Orbit) – physische Locks für A1-Multiball.;Über den beleuchteten Left Orbit, sobald alle Voraussetzungen erfüllt sind.;Ja – Action Button für Super Skillshot.;Ist der Orbit schwierig, lieber Songcord weiterspielen.;Reverse Scoop (Mitte) – Fehlschüsse kommen häufig unkontrolliert direkt zurück.;Im Matchplay möglichst früh Songcord + A1-Multiball stacken. Der Left-Orbit-Skillshot bringt sofort Fortschritt für den ersten Multiball.
Queen;Skillshot: Blinkende obere Skillshot-Lane. Super Skillshot: je nach Anzeige linker Orbit oder oberes Spielfeld.;1. Einen Song auswählen. 2. Red Special Multiball vorbereiten. 3. Die erforderlichen Locks sammeln. 4. Den Ball in die Red Special Guitar (große Gitarre mittig rechts) locken. 5. Nach dem letzten Lock startet der Multiball. 6. Song und Multiball gleichzeitig spielen.;🥇 Einen einfachen Song wählen.;Song-Auswahl am Song-Scoop (Mitte).;Red Special durch wiederholte Rampen- und Lock-Schüsse qualifizieren.;Red Special Guitar (große Gitarre rechts der Spielfeldmitte) – 2 oder 3 physische Locks, je nach Einstellung.;Nach dem letzten Lock über die Red Special Guitar.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber den gestarteten Song weiterspielen.;Gitarren-/Center-Shot – Fehlschüsse aus der Mitte können direkt SDTM verursachen.;Im Matchplay früh einen Song starten und sofort Red Special Multiball aufbauen. Song + Multiball bringt deutlich mehr Punkte als beides getrennt.
ABBA;Skillshot: Left Ramp (linke Rampe links außen) direkt nach dem Abschuss. Super Skillshot: anschließend sofort das Super Trouper Target (Mitte) treffen. Alternativ gibt es einen Left Orbit Skillshot.;1. Bandmitglieder sammeln. 2. Instrumente und Outfits einsammeln. 3. Einen Challenge Mode starten. 4. Den Helicopter Multiball vorbereiten. 5. Den Ball im Arrival Helicopter (Hubschrauber oben rechts) locken. 6. Nach den erforderlichen Locks startet der Multiball.;🥇 Erst Bandmitglieder sammeln.;Challenge-Scoop (Mitte).;Das Helicopter Drop Target (Mitte) treffen und die Voraussetzungen für den Ball-Lock erfüllen.;Arrival Helicopter (interaktiver Hubschrauber oben rechts) – physischer Lock.;Nach den erforderlichen Locks über den Helicopter.;Nein – kein Action Button erforderlich.;Ist der Helicopter noch nicht bereit, lieber weiter Bandmitglieder sammeln.;Helicopter Shot – Fehlschüsse kommen häufig schnell auf den rechten Flipper zurück.;Im Matchplay zuerst Bandmitglieder sammeln, danach konsequent den Helicopter Multiball aufbauen. Ein früher Multiball bringt meist mehr als das gleichzeitige Verfolgen vieler Tour-Ziele.
The Big Lebowski;Super Skillshot: Rechten Flipper gedrückt halten und den Ball auf das obere Spielfeld zur Bowling Loop (Loop oben links) spielen. Standard: Blinkende Top-Lane (obere Einlaufbahn) treffen.;1. Über die linke Rampe (links außen) The Dude qualifizieren. 2. Einen Character Mode starten. 3. Wieder die linke Rampe spielen und zwei Locks sammeln. 4. Nach dem zweiten Lock startet der Character Multiball automatisch. 5. Danach den Bowling Mode weiterspielen.;🥇 The Dude zuerst spielen.;Character Scoop (Mitte links) zum Start eines Character Modes.;The Dude über die linke Rampe qualifizieren. Danach werden die Locks freigeschaltet.;Linke Rampe (links außen) – dort werden 2 physische Locks für den ersten Character Multiball gesammelt.;Startet automatisch nach dem 2. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber Character Modes weiterspielen.;Donny Orbit (linker Orbit links außen) – der Rücklauf kommt oft schnell auf den rechten Flipper und kann SDTM enden.;Im Matchplay möglichst direkt The Dude → 2 Locks → Character Multiball spielen. Der Super Skillshot qualifiziert sofort einen Bowling Mode und ist sehr wertvoll, wenn er sicher beherrscht wird.
Weird Al's Museum of Natural Hilarity;Skillshot: Mit dem oberen linken Flipper die Spiral Ramp (linke Spiralrampe) treffen. Super Skillshot: Danach sofort den Mezzanine Loop (oben). Super Duper: UHF Camera Lock.;1. Einen Exhibit Mode starten. 2. Harvey (Hamster) treffen. 3. Den beweglichen Scoop treffen. 4. Über Spiral Ramp (links) oder Right Ramp (rechts) Harvey-Locks sammeln. 5. Nach dem dritten Harvey-Lock startet Dare to be Stupid Multiball.;🥇 Früh einen Exhibit Mode starten.;Exhibit Hall Scoop (Mitte links).;Harvey treffen und anschließend den beweglichen Scoop. Danach bringen Spiral Ramp oder Right Ramp jeweils einen Lock.;Harvey's Hamster Wheel (oben links) – 3 virtuelle Locks.;Startet automatisch nach dem 3. Harvey-Lock.;Nein – kein Action Button erforderlich.;Ist Harvey schwierig, lieber weiter Spiral Ramp spielen.;U-Turn Mini-Loop (rechter Eingang oben rechts) – schnelle Rückläufer können direkt SDTM verursachen.;Im Matchplay zuerst einen Exhibit Mode starten und danach konsequent Harvey spielen. Die Spiral Ramp bringt gleichzeitig Skillshots, Harvey-Locks und Zugang zum Mezzanine.
Portal (Multimorphic P3);Skillshot: Elevator Scoop (Loch mittig) für einen frühen Test Chamber oder Left Orbit (links außen) für Hub-Fortschritt.;1. Einen Test Chamber auswählen. 2. Objectives erfüllen. 3. Die Aerial Faith Plate (mittig) treffen, wenn sie für LOCK leuchtet. 4. Zwei Locks sammeln. 5. Danach startet automatisch der Aerial Faith Plate Multiball. 6. Anschließend Turret Multiball aufbauen.;🥇 Aerial Faith Plate Multiball zuerst.;Elevator Scoop (Mitte).;Die Faith Plate (bewegliche Platte in der Spielfeldmitte) treffen, wenn LOCK leuchtet. Insgesamt 2 Locks.;Faith Plate (Mitte auf dem Spielfeldgitter) – physische Locks.;Startet automatisch nach dem 2. Lock.;Nein – kein Action Button erforderlich.;Ist die Faith Plate riskant, lieber Test Chambers weiterspielen.;Center Loop (Mitte) – langsame Schüsse können mittig herausfallen und SDTM verursachen.;Im Matchplay zuerst den Aerial Faith Plate Multiball holen. Test Chambers bringen Fortschritt, kosten aber oft mehr Zeit als ein früher Multiball.
Halloween;Skillshot: Left Ramp (linke Rampe) oder Judith's Room/Garage (oben rechts) für Bonus und Fortschritt.;1. Einen Scene Mode starten. 2. Michael Myers Multiball vorbereiten. 3. Über den Knife Lock zwei Locks sammeln. 4. Den Center Scoop (Loch mittig) treffen. 5. Michael Myers Multiball starten. 6. Während des Multiballs den Mode weiterspielen.;🥇 Früh einen Scene Mode starten.;Scene Scoop (Mitte links).;Zwei Locks über den Knife Lock (Horseshoe oben) qualifizieren.;Knife Lock (Danesi Lock am Horseshoe oben) – 2 physische Locks.;Center Scoop (Mitte), nachdem beide Locks gesetzt wurden.;Nein – kein Action Button erforderlich.;Ist der Lock noch weit entfernt, lieber den gestarteten Mode weiterspielen.;Garage-/Center-Shot (Mitte rechts) – Fehlschüsse kommen oft direkt SDTM zurück.;Im Matchplay Mode und Michael-Myers-Multiball möglichst stacken. Nach dem ersten Multiball laufen die Lock-Timer ab – daher nicht zu lange warten.
Houdini;Skillshot: Eines der 3 oberen Skillshot-Ziele treffen (jedes gibt einen anderen Award). Super Skillshot: Alle drei Skillshot-Ziele nacheinander treffen.;1. Einen Stage Mode starten. 2. Den Trunk (großer Koffer in der Spielfeldmitte) treffen. 3. Der erste Lock ist bereits aktiv. 4. Weitere Locks über den Trunk sammeln. 5. Nach den erforderlichen Locks erneut den Trunk treffen und den Trunk Multiball starten.;🥇 Früh einen Stage Mode starten.;Stage Scoop (Mitte links).;Der erste Lock ist bereits beleuchtet. Weitere Locks werden durch Treffer auf den Trunk (großer Koffer in der Mitte) gesammelt.;Steamer Trunk (großer Koffer in der Spielfeldmitte).;Über den Trunk, sobald alle erforderlichen Locks gesammelt wurden.;Nein – kein Action Button erforderlich.;Ist der Trunk schwierig, lieber den Stage Mode weiterspielen.;Rechter Lock-Shot (zwischen rechter Rampe und Orbit) – enger Schuss mit gefährlichen Rückläufen.;Im Matchplay zuerst einen Stage Mode starten und anschließend den Trunk Multiball aufbauen. Stage- und Film-Modi lassen sich hervorragend mit dem Multiball stacken und bringen so deutlich mehr Punkte.
Rick & Morty;Skillshot: Je nach Award Left Ramp (linke Rampe), Right Ramp (rechte Rampe) oder Spinner Loop (oberer Loop) treffen. Super Skillshot: Mit dem oberen Flipper den Spinner Loop oben spielen.;1. Eine Adventure starten. 2. Den Flooble Crank (Kurbel links der Spielfeldmitte) einmal treffen – erster Lock leuchtet. 3. Den Ball im Danesi Lock (Horseshoe links/rechts oben) locken. 4. Flooble Crank erneut treffen und den zweiten Lock holen. 5. Nach dem zweiten Lock den Center Scoop (Loch mittig) treffen – Gromflomite Battle Multiball startet. 6. Adventure und Multiball gleichzeitig spielen.;🥇 Früh eine Adventure starten.;Adventure Scoop (Mitte links).;Den Flooble Crank (Kurbel links der Mitte) treffen. Ein Treffer qualifiziert den ersten Lock, ein weiterer den zweiten.;Danesi Lock 2.0 (Horseshoe links/rechts oben) – 2 physische Locks.;Center Scoop (Loch in der Spielfeldmitte), sobald beide Locks gesetzt sind.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber die Adventure weiterspielen und Meeseeks nutzen.;Center Scoop – Fehlschüsse prallen häufig unkontrolliert zurück und können direkt SDTM enden.;Im Matchplay zuerst eine Adventure starten und sofort den Gromflomite Battle Multiball aufbauen. Adventure + Multiball verlängern sogar gemeinsam die Ballsaver-Zeit. Nach dem ersten Multiball laufen Lock-Timer ab – daher nicht unnötig warten.
Hot Wheels;Skillshot: Den Motor (Tachometer) mit dem linken Flipper hochdrehen und anschließend die passende Top-Lane (oben) treffen. Super Skillshot: Vor dem Abschuss einen höheren Tach-Level einstellen.;1. Ein Race starten. 2. Das Rennen über die Rampen und Loops weiterspielen. 3. Die Zielflagge (Checkered Flag) erreichen. 4. Dadurch wird Victory Lap Multiball qualifiziert. 5. Victory Lap starten. 6. Danach auf Loop Crash oder Redline hinarbeiten.;🥇 Ein Rennen sofort beginnen.;Start-Line / Race Scoop (Mitte).;Kein klassischer Lock – Victory Lap wird durch Race-Fortschritt und das Erreichen der Checkered Flag qualifiziert.;Kein Ball-Lock vorhanden (virtueller Multiball).;Checkered Flag / Victory Lap, sobald das Rennen abgeschlossen wurde.;Nein – kein Action Button erforderlich.;Ist das Rennen noch weit entfernt, lieber sichere Rampen weiterspielen.;Halfpipe bzw. rechter Rampeneingang – enger Schuss mit schnellem Rücklauf auf den rechten Flipper.;Im Matchplay konsequent ein Rennen beenden und Victory Lap starten. Car Collection und Creature Battles kosten meist mehr Zeit als sie Punkte bringen.
Apollo 13;Skillshot: Beim Abschuss über die Tasten Start Mission, Mystery oder Multiball Countdown wählen – kein gezielter Schuss nötig.;1. Eine Mission starten. 2. Über die linken und rechten Orbits (Außenbahnen) den Spacecraft-Fortschritt erhöhen. 3. Den Multiball-Countdown bis auf 1 reduzieren. 4. Die Blastoff Ramp (große Rampe links) treffen. 5. Der 3-Ball-Multiball startet. 6. Später BLASTOFF-Buchstaben für den 13-Ball-Multiball sammeln.;🥇 Früh eine Mission starten.;Mission-Auswahl direkt über den Skillshot/Start.;Kein klassischer Lock – der LED-Countdown wird über Missionen und Spielziele reduziert.;Kein Ball-Lock vorhanden (virtueller Multiball).;Blastoff Ramp (große linke Rampe), sobald der Countdown 1 erreicht hat.;Nein – kein Action Button erforderlich.;Ist der Countdown noch hoch, lieber Missionen weiterspielen.;Blastoff Ramp – Fehlschüsse kommen häufig mittig zurück und können SDTM enden.;Im Matchplay nicht stur auf den 13-Ball-Multiball spielen. Der 3-Ball-Multiball ist wesentlich schneller erreichbar und liefert zuverlässig Punkte.
Baywatch;Skillshot: Mit den Flippern zwischen Top Lanes (oben), Shark Scoop (oben rechts) oder Side Ramp (oben links) wählen.;1. Die 3-Bank Drop Targets (Mitte links) komplett treffen. 2. Dadurch wird der Lock aktiviert. 3. Über die linke Rampe (Trap Door) den Ball locken. 4. Insgesamt drei Locks sammeln. 5. Danach startet automatisch der 5-Ball-Multiball. 6. Jackpots und Super Jackpots einsammeln.;Keine Moduswahl – Multiball priorisieren.;–;Die 3-Bank Drop Targets (Mitte links) komplett abschießen, um den Trap-Door-Lock zu aktivieren.;Trap Door unter der linken Rampe (links oben) – 3 physische Locks.;Startet automatisch nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Sind die Locks noch weit entfernt, lieber Drop Targets weiterspielen.;Linke Rampe / Trap Door – Fehlschüsse prallen häufig hart zur Spielfeldmitte zurück.;Im Matchplay möglichst früh den 5-Ball-Multiball holen. Die Top-Lane ist meist der sicherste Skillshot und verbessert zusätzlich den Bonus-Multiplikator.
Maverick;Skillshot: Eines der 3 oberen Skillshot-Löcher treffen. Beste Wahl: Light Lock, alternativ Start Mode. Zusätzlich gibt es einen Flipper-Skillshot über den Captive Ball (Mitte).;1. Möglichst Light Lock als Skillshot wählen. 2. Die Right Ramp (rechte Rampe) treffen, bis LOCK leuchtet. 3. Den Ball über den Right Orbit (rechts außen) in das Riverboat/Lauren Bell (oben rechts) locken. 4. Insgesamt drei Locks sammeln. 5. Der Multiball startet. 6. Währenddessen die Right Ramp für Jackpots und anschließend den Captive Ball für den Super Jackpot spielen.;🥇 Light Lock als Skillshot wählen.;Mode-Start über den Skillshot oder Mode Scoop.;LOCK über Treffer auf die Right Ramp (rechte Rampe) qualifizieren. Ein Light-Lock-Skillshot überspringt den ersten Schritt.;Right Orbit (ganz rechts außen) – der Ball wird im Lauren Bell Riverboat (oben rechts) gespeichert.;Nach dem 3. Lock (oder früher über den Spezial-Skillshot nach Lock 2, falls erfolgreich).;Nein – kein Action Button erforderlich.;Ist der Lock noch weit entfernt, lieber weiter die Right Ramp spielen.;Right Ramp – Fehlschüsse kommen häufig hart auf den rechten Flipper zurück.;Im Matchplay möglichst den Light-Lock-Skillshot mitnehmen und direkt den Multiball aufbauen. Während des Multiballs konsequent Right Ramp für Jackpots und anschließend den Captive Ball für den Super Jackpot nutzen.
